ts,symbol,side,notional,entry,exit,gross,fee,net,hold_s,reason,strategy,slippage_bps
2026-05-14T21:25:19,SOL,BUY,250.0,93.56825658,93.0655,-1.343288,0.0675,-1.410788,1409.9,invalidation,BreakoutControlled,
2026-05-14T21:25:19,SOL,BUY,30.0,93.57289287,93.0655,-0.162673,0.0081,-0.170773,1408.9,invalidation,BreakoutControlled,
2026-05-14T21:26:50,AVAX,BUY,250.0,10.06351726,10.0655,0.049256,0.0675,-0.018244,90.3,invalidation,BreakoutControlled,
2026-05-14T21:46:53,HYPE,BUY,250.0,44.7659736,44.5255,-1.342949,0.0675,-1.410449,782.7,invalidation,BreakoutControlled,
2026-05-14T22:05:54,AVAX,BUY,250.0,10.04151284,9.99825,-1.0771,0.0675,-1.1446,1140.7,invalidation,BreakoutControlled,
2026-05-14T22:20:28,BTC,BUY,30.0,81659.9146514,81184.5,-0.174657,0.0081,-0.182757,4717.9,invalidation,BreakoutControlled,
2026-05-14T22:23:18,ETH,BUY,30.0,2291.82293856,2287.55,-0.055933,0.0081,-0.064033,168.9,invalidation,BreakoutControlled,
2026-05-15T00:49:51,AVAX,BUY,250.0,10.00850623,10.002,-0.162517,0.0675,-0.230017,118.7,momentum_exit,MomentumLS,
2026-05-15T00:49:51,BCH,BUY,250.0,438.42288177,437.225,-0.683063,0.0675,-0.750563,13681.6,loss_streak,,
2026-05-15T00:49:51,BTC,BUY,250.0,81183.77398658,81470.5,0.882954,0.0675,0.815454,8035.5,loss_streak,,
2026-05-15T00:49:51,ARB,SELL,250.0,0.13257841,0.13266,-0.153849,0.0675,-0.221349,118.7,loss_streak,,
2026-05-15T01:09:06,SOL,BUY,30.0,92.87071732,92.3695,-0.161908,0.0081,-0.170008,5773.8,invalidation,BreakoutControlled,
2026-05-15T01:22:51,AVAX,SELL,250.0,9.92390979,9.91505,0.223193,0.0675,0.155693,179.7,momentum_exit,MomentumLS,
2026-05-15T01:23:28,BTC,BUY,30.0,81182.7953728,81135.5,-0.017477,0.0081,-0.025577,862.1,network_timeout=20s,,
2026-05-15T01:23:28,ETH,BUY,30.0,2290.8226885,2290.05,-0.010119,0.0081,-0.018219,862.1,network_timeout=20s,,
