ts,datetime,symbol,long_exchange,short_exchange,direction,mode,funding_hl,funding_aster,spread_bps,notional_usd,expected_funding_bps,expected_net_bps,expected_net_usd,estimated_cost_bps,basis_bps,liquidity_score,stability_score,risk_score,horizon_hours,decision,reason
1778861060,2026-05-15T16:04:19.789189+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861060,2026-05-15T16:04:19.789189+00:00,ETH,,hyperliquid,short,single,,,,25,0.015053875,-7.879569,-0.0196989225,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861060,2026-05-15T16:04:19.789189+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861060,2026-05-15T16:04:19.789189+00:00,HYPE,,hyperliquid,short,single,,,,25,0.009902,-7.920784,-0.01980196,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861120,2026-05-15T16:05:20.398619+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861120,2026-05-15T16:05:20.398619+00:00,ETH,,hyperliquid,short,single,,,,25,0.015156,-7.878752,-0.01969688,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861120,2026-05-15T16:05:20.398619+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861120,2026-05-15T16:05:20.398619+00:00,HYPE,,hyperliquid,short,single,,,,25,0.008363875,-7.933089,-0.0198327225,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861181,2026-05-15T16:06:21.216144+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861181,2026-05-15T16:06:21.216144+00:00,ETH,,hyperliquid,short,single,,,,25,0.010818,-7.913456,-0.01978364,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861181,2026-05-15T16:06:21.216144+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861181,2026-05-15T16:06:21.216144+00:00,HYPE,,hyperliquid,short,single,,,,25,0.00865525,-7.930758,-0.019826895,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861242,2026-05-15T16:07:21.966200+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861242,2026-05-15T16:07:21.966200+00:00,ETH,,hyperliquid,short,single,,,,25,0.00718825,-7.942494,-0.019856235,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861242,2026-05-15T16:07:21.966200+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861242,2026-05-15T16:07:21.966200+00:00,HYPE,,hyperliquid,short,single,,,,25,0.006065,-7.95148,-0.0198787,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861303,2026-05-15T16:08:22.678544+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861303,2026-05-15T16:08:22.678544+00:00,ETH,,hyperliquid,short,single,,,,25,0.0074685,-7.940252,-0.01985063,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861303,2026-05-15T16:08:22.678544+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861303,2026-05-15T16:08:22.678544+00:00,HYPE,,hyperliquid,short,single,,,,25,0.007887,-7.936904,-0.01984226,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861363,2026-05-15T16:09:23.489904+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861363,2026-05-15T16:09:23.489904+00:00,ETH,,hyperliquid,short,single,,,,25,0.0068615,-7.945108,-0.01986277,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861363,2026-05-15T16:09:23.489904+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861363,2026-05-15T16:09:23.489904+00:00,HYPE,,hyperliquid,short,single,,,,25,0.009370125,-7.925039,-0.0198125975,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861424,2026-05-15T16:10:24.225924+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861424,2026-05-15T16:10:24.225924+00:00,ETH,,hyperliquid,short,single,,,,25,0.005749125,-7.954007,-0.0198850175,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861424,2026-05-15T16:10:24.225924+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861424,2026-05-15T16:10:24.225924+00:00,HYPE,,hyperliquid,short,single,,,,25,0.007069625,-7.943443,-0.0198586075,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861485,2026-05-15T16:11:24.933750+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861485,2026-05-15T16:11:24.933750+00:00,ETH,,hyperliquid,short,single,,,,25,0.004907125,-7.960743,-0.0199018575,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861485,2026-05-15T16:11:24.933750+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861485,2026-05-15T16:11:24.933750+00:00,HYPE,,hyperliquid,short,single,,,,25,0.006416125,-7.948671,-0.0198716775,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861546,2026-05-15T16:12:25.761820+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
