ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778861060,2026-05-15T16:04:19.788189+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
1778861060,2026-05-15T16:04:19.788189+00:00,hyperliquid,ETH,1.5053875e-06,0.015053875,,,,,
1778861060,2026-05-15T16:04:19.788189+00:00,hyperliquid,SOL,1.5625e-06,0.015625,,,,,
1778861060,2026-05-15T16:04:19.788189+00:00,hyperliquid,HYPE,9.902e-07,0.009902,,,,,
1778861120,2026-05-15T16:05:20.388051+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
1778861120,2026-05-15T16:05:20.388051+00:00,hyperliquid,ETH,1.5156e-06,0.015156,,,,,
1778861120,2026-05-15T16:05:20.388051+00:00,hyperliquid,SOL,1.5625e-06,0.015625,,,,,
1778861120,2026-05-15T16:05:20.388051+00:00,hyperliquid,HYPE,8.363875e-07,0.008363875,,,,,
1778861181,2026-05-15T16:06:21.213921+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
1778861181,2026-05-15T16:06:21.213921+00:00,hyperliquid,ETH,1.0818e-06,0.010818,,,,,
1778861181,2026-05-15T16:06:21.213921+00:00,hyperliquid,SOL,1.5625e-06,0.015625,,,,,
1778861181,2026-05-15T16:06:21.213921+00:00,hyperliquid,HYPE,8.65525e-07,0.00865525,,,,,
1778861242,2026-05-15T16:07:21.964182+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
1778861242,2026-05-15T16:07:21.964182+00:00,hyperliquid,ETH,7.18825e-07,0.00718825,,,,,
1778861242,2026-05-15T16:07:21.964182+00:00,hyperliquid,SOL,1.5625e-06,0.015625,,,,,
1778861242,2026-05-15T16:07:21.964182+00:00,hyperliquid,HYPE,6.065e-07,0.006065,,,,,
1778861303,2026-05-15T16:08:22.676532+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
1778861303,2026-05-15T16:08:22.676532+00:00,hyperliquid,ETH,7.4685e-07,0.0074685,,,,,
1778861303,2026-05-15T16:08:22.676532+00:00,hyperliquid,SOL,1.5625e-06,0.015625,,,,,
1778861303,2026-05-15T16:08:22.676532+00:00,hyperliquid,HYPE,7.887e-07,0.007887,,,,,
1778861363,2026-05-15T16:09:23.486619+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
1778861363,2026-05-15T16:09:23.486619+00:00,hyperliquid,ETH,6.8615e-07,0.0068615,,,,,
1778861363,2026-05-15T16:09:23.486619+00:00,hyperliquid,SOL,1.5625e-06,0.015625,,,,,
1778861363,2026-05-15T16:09:23.486619+00:00,hyperliquid,HYPE,9.370125e-07,0.009370125,,,,,
1778861424,2026-05-15T16:10:24.222930+00:00,hyperliquid,BTC,1.5625e-06,0.015625,,,,,
